model  ,workload      ,freq    ,speed                ,power              ,voltage
little ,cacherate-80  ,800000  ,0.5292869962473488   ,88911.68571399999  ,1030008.9285709999
little ,cacherate-80  ,900000  ,0.517702724751183    ,104262.68345299999 ,1066960.431655
little ,decrypt       ,1000000 ,0.19732142857142856  ,166947.230216      ,1102877.697842
little ,decrypt       ,1100000 ,0.1796595982142857   ,196721.956835      ,1139325.539568
little ,decrypt       ,1200000 ,0.16467633928571426  ,229090.28057600002 ,1176133.093525
little ,decrypt       ,1300000 ,0.15214843749999998  ,273455.86330900004 ,1224613.309353
little ,decrypt       ,1400000 ,0.1415736607142857   ,323082.161765      ,1272977.941176
little ,decrypt       ,1500000 ,0.1323660714285714   ,357174.05714299995 ,1291473.214286
little ,decrypt       ,200000  ,1.0                  ,28572.971014       ,919456.521739
little ,decrypt       ,300000  ,0.6615513392857143   ,38934.388489       ,918875.8992809999
little ,decrypt       ,400000  ,0.4958426339285714   ,48781.899281       ,919478.417266
little ,decrypt       ,500000  ,0.39461495535714286  ,59263.036496       ,918832.1167879999
little ,decrypt       ,600000  ,0.33010602678571427  ,75586.467626       ,956258.9928059999
little ,decrypt       ,700000  ,0.28169642857142857  ,94739.568345       ,992500.0
little ,decrypt       ,800000  ,0.2470145089285714   ,115430.834532      ,1029775.179856
little ,decrypt       ,900000  ,0.2193080357142857   ,140040.913043      ,1066259.057971
little ,encrypt       ,1000000 ,0.197565911518354    ,166363.467626      ,1103165.467626
little ,encrypt       ,1100000 ,0.17968969587947606  ,195855.65714300002 ,1138919.642857
little ,encrypt       ,1200000 ,0.16521445837315193  ,229206.80714299998 ,1176008.928571
little ,encrypt       ,1300000 ,0.15206026195963798  ,272776.16911799996 ,1224604.779412
little ,encrypt       ,1400000 ,0.14182922030468267  ,322312.129496      ,1272904.676259
little ,encrypt       ,1500000 ,0.13246950362583618  ,356725.607143      ,1291651.785714
little ,encrypt       ,200000  ,1.0                  ,28506.145985000003 ,919315.693431
little ,encrypt       ,300000  ,0.6617853729833043   ,38718.820144       ,918911.8705040001
little ,encrypt       ,400000  ,0.4941817977401765   ,48696.18705        ,919091.7266190001
little ,encrypt       ,500000  ,0.39437292708977456  ,58760.985714       ,918901.7857139999
little ,encrypt       ,600000  ,0.32840519422114783  ,75413.956835       ,956250.0
little ,encrypt       ,700000  ,0.28140986002585866  ,94483.568345       ,992886.690647
little ,encrypt       ,800000  ,0.24638821743774242  ,115007.036496      ,1029708.029197
little ,encrypt       ,900000  ,0.21982685929506995  ,139263.489209      ,1066258.992806
little ,gzip-1        ,1000000 ,0.19908958715306316  ,169883.90714300002 ,1102080.357143
little ,gzip-1        ,1100000 ,0.17971170259847     ,191382.071429      ,1138714.285714
little ,gzip-1        ,1200000 ,0.16526522096478471  ,226600.60714299997 ,1175071.428571
little ,gzip-1        ,1300000 ,0.15303154833407093  ,265280.764286      ,1222705.357143
little ,gzip-1        ,1400000 ,0.1427894038060315   ,316385.171429      ,1255464.285714
little ,gzip-1        ,1500000 ,0.1333375482076247   ,349188.585714      ,1291544.642857
little ,gzip-1        ,200000  ,1.0                  ,29836.385714       ,918776.7857139999
little ,gzip-1        ,300000  ,0.6568881583106784   ,39624.814286       ,918750.0
little ,gzip-1        ,400000  ,0.48928368211418094  ,48385.157143000004 ,918750.0
little ,gzip-1        ,500000  ,0.39112979705380285  ,58090.628571       ,918758.9285709999
little ,gzip-1        ,600000  ,0.3261996585951824   ,73431.35           ,955089.2857139999
little ,gzip-1        ,700000  ,0.28017323133337546  ,94852.485714       ,991892.857143
little ,gzip-1        ,800000  ,0.24546374154390843  ,114459.385714      ,1028785.7142860001
